City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Broken Hill,AU,-31.95,141.4333,77,38,40,13.8,scattered clouds
Chokurdakh,RU,70.6333,147.9167,-27.33,90,100,12.95,overcast clouds
Bilibino,RU,68.0546,166.4372,-18,86,0,3.15,clear sky
Endicott,US,42.0984,-76.0494,39,93,90,5.75,mist
Baykit,RU,61.67,96.37,23.99,87,100,11.23,light snow
Kargasok,RU,59.0556,80.8572,30.16,90,99,9.44,overcast clouds
Zonguldak,TR,41.25,31.8333,34.21,96,100,7.02,light snow
Jalingo,NG,8.8833,11.3667,92.16,43,90,8.43,overcast clouds
Lima,PE,-12.0432,-77.0282,73,83,0,5.75,clear sky
Harper,LR,4.375,-7.7169,79.75,84,100,3.06,light rain
Goderich,CA,43.7501,-81.7165,35.6,80,100,9.22,overcast clouds
Mount Isa,AU,-20.7333,139.5,91.4,24,75,14.97,broken clouds
Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,69.21,90,100,6.89,overcast clouds
Bull Savanna,JM,17.8868,-77.5902,70.07,83,0,8.48,clear sky
Boa Vista,BR,2.8197,-60.6733,77,73,0,9.22,clear sky
Coahuayana,MX,18.7333,-103.6833,63.72,89,0,3.2,clear sky
Northam,GB,51.0333,-4.2167,43,94,70,4,broken clouds
Zhangjiakou,CN,40.81,114.8794,43.77,60,99,8.55,overcast clouds
Apulia,PT,41.4851,-8.7641,55.99,47,0,8.05,clear sky
Geraldton,AU,-28.7667,114.6,86,48,0,17.27,clear sky
Jacareacanga,BR,-6.2222,-57.7528,72.61,98,100,4.56,overcast clouds
Srednekolymsk,RU,67.45,153.6833,-4.07,88,100,4.32,overcast clouds
Alta Floresta,BR,-9.8756,-56.0861,70.48,99,100,0.98,overcast clouds
Snezhnogorsk,RU,69.1933,33.2531,23,63,40,6.71,light snow
Korla,CN,41.7597,86.1469,46.24,34,100,8.37,overcast clouds
Breytovo,RU,58.2993,37.8617,31.32,93,98,8.5,overcast clouds
Salinopolis,BR,-0.6136,-47.3561,77.97,87,100,9.78,overcast clouds
Campbell River,CA,50.0163,-125.2446,36,94,99,1.34,overcast clouds
Rocha,UY,-34.4833,-54.3333,59.68,92,71,9.04,broken clouds
Atar,MR,20.5169,-13.0499,83.64,9,0,9.98,clear sky
Qaqortoq,GL,60.7167,-46.0333,28.4,86,90,23.02,heavy snow
Thinadhoo,MV,0.5333,72.9333,84.06,62,100,4.21,overcast clouds
Santa Cruz,BO,-17.8,-63.1667,71.6,83,75,20.71,broken clouds
Turriff,GB,57.5384,-2.4593,51.01,54,100,1.01,overcast clouds
Inyonga,TZ,-6.7167,32.0667,80.53,57,53,4.43,broken clouds
Tuktoyaktuk,CA,69.4541,-133.0374,-15.16,95,63,3.09,broken clouds
Voi,KE,-3.3945,38.563,87.71,43,17,6.31,few clouds
Sioux Lookout,CA,50.1001,-91.917,23,74,1,3.76,clear sky
Alencon,FR,48.4333,0.0833,44.6,65,90,4.61,overcast clouds
Uniontown,US,39.9001,-79.7164,51.01,59,100,1.01,overcast clouds
Andros Town,BS,24.7,-77.7667,71.6,88,40,8.05,scattered clouds
Temple,US,31.0982,-97.3428,48,57,1,16.11,clear sky
Mhlambanyatsi,SZ,-26.45,31.0167,71.6,64,16,2.17,few clouds
Marawi,PH,7.9986,124.2928,84,83,71,7,broken clouds
Kununurra,AU,-15.7667,128.7333,86,70,75,4.61,broken clouds
Roald,NO,62.5833,6.1333,39.2,87,75,6.91,light intensity drizzle
Keetmanshoop,NA,-26.5833,18.1333,69.8,26,0,5.75,clear sky
Vigrestad,NO,58.5667,5.7,39,94,100,8.37,overcast clouds
Ouadda,CF,8.0777,22.4007,86.88,42,98,6.44,overcast clouds
Ibresi,RU,55.2961,47.0394,28.56,91,100,4.34,overcast clouds
Safford,US,32.834,-109.7076,42.8,45,1,3.44,clear sky
Praia Da Vitoria,PT,38.7333,-27.0667,57.99,94,20,13.27,few clouds
Pozo Colorado,PY,-23.4923,-58.7972,67.26,81,19,7.85,few clouds
Sola,VU,-13.8833,167.55,82.11,76,64,11.32,light rain
Conway,US,35.0887,-92.4421,48.99,83,73,5.01,broken clouds
Kondoa,TZ,-4.9,35.7833,78.73,51,100,7.25,light rain
Veseloyarsk,RU,51.2836,81.1056,23.58,79,100,11.99,overcast clouds
Povenets,RU,62.8487,34.8262,19.4,93,100,0.51,light snow
Narsaq,GL,60.9167,-46.05,28.4,86,90,23.02,heavy snow
Huarmey,PE,-10.0681,-78.1522,70.36,84,93,6.46,overcast clouds
Bogo,PH,11.0517,124.0055,83.35,79,28,8.5,scattered clouds
La Cruz,MX,23.9167,-106.9,58.41,60,0,4.25,clear sky
Tighina,MD,46.8306,29.4711,39.2,75,90,16.11,light rain
Drayton Valley,CA,53.2168,-114.9854,30,79,0,3.76,clear sky
Mehamn,NO,71.0357,27.8492,26.6,59,40,34.52,scattered clouds
Kencong,ID,-8.2833,113.3667,83.1,80,94,5.75,moderate rain
Adre,TD,13.4667,22.2,90.09,27,80,4.5,broken clouds
Saldanha,ZA,-33.0117,17.9442,64.4,73,75,11.5,broken clouds
Avera,US,33.194,-82.5271,64.4,94,90,4.61,haze
Muromtsevo,RU,56.3724,75.2418,29.52,94,100,7.72,overcast clouds
Kuala Selangor,MY,3.35,101.25,91.4,55,20,8.05,few clouds
Olafsvik,IS,64.8945,-23.7142,44.8,96,100,22.93,overcast clouds
Aksay,RU,47.26,39.87,41,93,40,8.95,moderate rain
Viedma,AR,-40.8135,-62.9967,48.7,67,27,5.5,scattered clouds
Beringovskiy,RU,63.05,179.3167,-15.79,89,0,4.32,clear sky
Cabo San Lucas,MX,22.8909,-109.9124,57,73,0,1.01,clear sky
Gatesville,US,31.4352,-97.7439,46,57,1,8.05,clear sky
Nome,US,64.5011,-165.4064,3.2,66,90,5.75,overcast clouds
Goure,NE,13.9835,10.2704,91.99,12,66,8.01,broken clouds
Mapiri,BO,-15.25,-68.1667,66.47,99,100,0.94,heavy intensity rain
Broome,US,42.2506,-75.833,37.99,93,90,5.75,mist
Chapais,CA,49.7834,-74.8492,28.4,93,90,11.5,light snow
Ullapool,GB,57.8987,-5.1604,45,100,100,3,overcast clouds
Houma,US,29.5958,-90.7195,62.6,63,1,11.5,clear sky
Tias,ES,28.9611,-13.645,64.4,59,75,1.14,broken clouds
Kerman,IR,30.2832,57.0788,73.4,21,20,11.5,few clouds
Shieli,KZ,44.1667,66.75,47.23,45,0,10.76,clear sky
Mumford,GH,5.2618,-0.759,79.54,81,98,13.65,overcast clouds
Tateyama,JP,34.9833,139.8667,60.01,65,63,3,broken clouds
Bukachacha,RU,52.9833,116.9167,25.36,74,100,2.98,overcast clouds
Moa,CU,20.6569,-74.9403,72.99,85,39,10.18,scattered clouds
Nova Gradiska,HR,45.255,17.3831,39.2,70,40,12.66,scattered clouds
Virginia Beach,US,36.8529,-75.978,48.99,93,90,6.64,mist
La Rioja,ES,42.25,-2.5,46.4,76,40,9.22,scattered clouds
Dunedin,NZ,-45.8742,170.5036,54,81,2,3.38,clear sky
Makakilo City,US,21.3469,-158.0858,71.6,64,1,8.05,clear sky
Martin,US,27.0837,-80.4164,73.99,83,1,3.44,clear sky
Hattiesburg,US,31.3271,-89.2903,62.6,94,1,6.91,clear sky
Paita,PE,-5.0892,-81.1144,75.74,74,95,6.38,overcast clouds
Kemijarvi,FI,66.7131,27.4306,23.22,66,38,16.33,scattered clouds
Fort Nelson,CA,58.8053,-122.7002,28.4,54,1,2.3,clear sky
Wetzlar,DE,50.55,8.5,37.99,78,87,3.85,overcast clouds
Japura,ID,-0.3167,102.35,87.12,68,100,3.91,overcast clouds
Dole,FR,47.0833,5.5,42.01,70,20,8.05,few clouds
La Ronge,CA,55.1001,-105.2842,28.4,74,40,4.61,scattered clouds
Asau,RO,46.4333,26.4,37,60,100,7.81,overcast clouds
Suntar,RU,62.1444,117.6319,14.65,92,96,3.38,overcast clouds
Port Hardy,CA,50.6996,-127.4199,48.2,71,90,14.97,overcast clouds
Asyut,EG,27.181,31.1837,69.8,35,0,9.22,clear sky
Sagarejo,GE,41.734,45.3315,51.8,58,40,25.32,scattered clouds
Bubaque,GW,11.2833,-15.8333,74.71,63,0,11.39,clear sky
Praya,CV,14.9215,-23.5087,69.8,46,0,12.66,clear sky
Mendi,PG,-6.1761,143.6513,57.04,97,100,2.82,moderate rain
Kamenskiy,RU,50.8855,45.488,31.12,99,73,2.44,broken clouds
Idenao,CM,4.2475,9.0047,84.2,94,75,3.44,broken clouds
Hudiksvall,SE,61.729,17.1036,29.97,87,99,9.24,light snow
Saint-Joseph,RE,-21.3667,55.6167,84.2,65,20,19.57,few clouds
Natal,BR,-5.795,-35.2094,75.2,94,40,2.3,scattered clouds
Neryungri,RU,56.6709,124.6491,15.3,88,97,3.51,overcast clouds
Novyy Buh,UA,47.6931,32.5216,37.4,87,90,11.18,overcast clouds
Bolivar,US,37.6145,-93.4105,36,93,100,19.06,overcast clouds
Pestovo,RU,58.5938,35.8024,30.94,89,84,5.97,broken clouds
Kuruman,ZA,-27.4524,23.4325,80.33,42,0,16.02,clear sky
Montrose,US,38.4166,-108.2673,32,60,0,3,clear sky
Sao Joao Da Barra,BR,-21.6403,-41.0511,73.4,88,22,10.58,few clouds
Akyab,MM,20.15,92.9,84.36,55,60,15.46,broken clouds
Kampong Cham,KH,11.9934,105.4635,98.69,30,80,1.68,broken clouds
Mabay,PH,6.0577,124.4666,91.4,52,75,8.05,broken clouds
Tautira,PF,-17.7333,-149.15,78.8,78,0,3.44,clear sky
Chuy,UY,-33.6971,-53.4616,62.04,87,34,9.8,scattered clouds
Loding,NO,67.3,14.75,28.4,64,0,11.5,clear sky
Tessalit,ML,20.1986,1.0114,80.22,15,0,8.25,clear sky
Warrnambool,AU,-38.3833,142.4833,62.58,77,0,11.36,clear sky
Belyy Yar,RU,53.6039,91.3903,23,54,0,2.24,clear sky
Te Anau,NZ,-45.4167,167.7167,48.2,87,0,3.36,clear sky
Tarakan,ID,3.3,117.6333,82.74,69,94,7.09,overcast clouds
Hobyo,SO,5.3505,48.5268,85.51,66,47,13.62,scattered clouds
Jibuti,DJ,11.5,42.5,86,62,20,10.36,few clouds
Thanh Hoa,VN,19.8,105.7667,80.13,72,12,11.48,few clouds
Garissa,KE,-0.4536,39.6401,89.89,46,91,7.31,overcast clouds
Koslan,RU,63.4564,48.8989,23.07,93,100,7.52,light snow
Milkovo,RU,54.7167,158.6167,25.18,90,100,6.55,overcast clouds
Hervey Bay,AU,-25.2986,152.8535,73.99,91,95,3,light rain
Koumra,TD,8.9126,17.5539,90.3,36,34,10.27,scattered clouds
Zhezkazgan,KZ,47.8043,67.7144,25.97,71,81,17.58,broken clouds
Puerto Ayacucho,VE,5.6639,-67.6236,72.77,88,26,3.24,scattered clouds
Contamana,PE,-7.3333,-75.0167,70.74,97,27,2.01,scattered clouds
Dutlwe,BW,-23.9833,23.9,82.83,42,0,11.34,clear sky
Sangar,RU,63.9242,127.4739,-14.48,93,29,6.26,scattered clouds
Christchurch,NZ,-43.5333,172.6333,55,71,0,8.05,clear sky
Altamont,US,42.2068,-121.7372,37.4,60,1,5.75,clear sky
Escarcega,MX,18.6089,-90.7454,71.64,85,0,4.76,clear sky
Ponta Delgada,PT,37.7333,-25.6667,57.2,77,75,9.22,broken clouds
Camana,PE,-16.6228,-72.7111,69.31,87,95,7.27,overcast clouds
Cidreira,BR,-30.1811,-50.2056,69.35,89,13,9.48,few clouds
Quezon,PH,7.7303,125.0989,84.4,67,62,5.21,broken clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,72,20,16.11,few clouds
Inirida,CO,3.8653,-67.9239,70.32,98,100,1.99,heavy intensity rain
Sabya,SA,17.1495,42.6254,87.8,66,0,13.8,clear sky
Jucurutu,BR,-6.0339,-37.0203,76.5,82,13,2.84,few clouds
Gohad,IN,26.4261,78.4447,98.44,12,58,8.97,broken clouds
Hasaki,JP,35.7333,140.8333,55.99,66,20,10.36,few clouds
Zyryanka,RU,65.75,150.85,-1.89,82,51,10.42,broken clouds
Attingal,IN,8.6833,76.8333,91.4,58,20,5.75,haze
Sembe,CG,1.6481,14.5806,74.39,78,96,0.98,overcast clouds
Olinda,BR,-8.0089,-34.8553,75.2,78,75,3.44,broken clouds
Nipawin,CA,53.3668,-104.0009,23,93,1,6.91,clear sky
Medicine Hat,CA,50.0501,-110.6683,42.01,55,1,12.66,clear sky
Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,70.48,98,100,0.69,overcast clouds
Peleduy,RU,59.6289,112.7406,24.03,85,100,7.23,overcast clouds
Tinyahuarco,PE,-10.75,-76.3,33.24,92,37,2.42,snow
Lanzhou,CN,36.0564,103.7922,62.01,22,37,7.81,scattered clouds
Galle,LK,6.0367,80.217,81.84,76,100,7.18,overcast clouds
Stornoway,GB,58.2093,-6.3865,46.99,100,75,6.91,fog
Tromso,NO,69.6496,18.957,26.01,74,75,2.3,broken clouds
Porto Velho,BR,-8.7619,-63.9039,73.4,94,75,1.7,light rain
Veraval,IN,20.9,70.3667,87.12,46,55,16.06,broken clouds
Ixtapa,MX,20.7,-105.2,63,84,0,2.91,clear sky
Fare,PF,-16.7,-151.0167,82.26,73,1,10.16,clear sky
Xai-Xai,MZ,-25.0519,33.6442,90.57,51,0,2.17,clear sky
Omboue,GA,-1.5746,9.2618,76.26,90,100,6.44,light rain
Camacha,PT,33.0833,-16.3333,59,82,20,21.85,few clouds
Port Hueneme,US,34.1478,-119.1951,48.2,87,1,5.44,clear sky
Mabaruma,GY,8.2,-59.7833,70.74,96,95,3,overcast clouds
Saint-Francois,FR,46.4154,3.9054,41,75,90,10.36,overcast clouds
Grand Forks,US,47.9417,-97.4337,19.4,79,1,8.05,clear sky
Raudeberg,NO,61.9875,5.1352,39.99,95,99,3.67,overcast clouds
Lock Haven,US,41.137,-77.4469,42.01,86,100,3.85,overcast clouds
Srikakulam,IN,18.3,83.9,90.99,40,74,15.64,broken clouds
Nabire,ID,-3.3667,135.4833,80.83,82,82,2.04,light rain
Nathdwara,IN,24.9333,73.8167,89.6,18,75,2.3,haze
Dicabisagan,PH,17.0818,122.4157,82.15,78,100,4.7,moderate rain
Inta,RU,66.0317,60.1659,25,94,100,7.29,overcast clouds
Langsa,ID,4.4683,97.9683,85.78,71,74,5.28,broken clouds
Tilichiki,RU,60.4667,166.1,6.03,94,100,8.88,overcast clouds
Abu Dhabi,AE,24.4667,54.3667,98.6,12,0,4.61,clear sky
Wamba,NG,8.9333,8.6,87.1,53,98,6.58,overcast clouds
Pilar,BR,-9.5972,-35.9567,71.6,88,0,3.44,clear sky
Ishigaki,JP,24.3448,124.1572,77,73,20,8.05,few clouds
Arawa,PG,-6.2132,155.5367,78.64,88,64,1.57,broken clouds
Kaeo,NZ,-35.1,173.7833,64,80,63,1.01,broken clouds
Fukuma,JP,33.7667,130.4667,63,67,0,9.22,clear sky
Oytal,KZ,42.9057,73.2697,46.85,66,0,12.91,clear sky
Faya,SA,18.3851,42.4509,77,15,0,4.61,clear sky
La Tuque,CA,47.4334,-72.7824,33.8,93,100,3.44,overcast clouds
Odweyne,SO,9.4092,45.064,84.24,33,64,6.2,broken clouds
The Valley,AI,18.217,-63.0578,75.2,64,40,20.09,scattered clouds
Alzamay,RU,55.5562,98.6644,26.37,75,100,6.6,overcast clouds
Svetlyy,RU,54.675,20.1347,33.8,86,75,2.24,broken clouds
Morogoro,TZ,-6.8167,37.6667,84.2,70,75,2.86,light rain
Lisakovsk,KZ,52.5369,62.4936,24.73,72,100,18.05,overcast clouds
Kahului,US,20.8947,-156.47,66.99,88,40,6.91,light rain
Miaray,PH,7.5747,125.0444,83.71,65,57,5.39,broken clouds
Suhbaatar,MN,50.2314,106.2078,27.77,65,94,11.54,overcast clouds
Necochea,AR,-38.5473,-58.7368,54,75,55,3,broken clouds
Brae,GB,60.3964,-1.353,46.4,93,90,14.97,mist
Nishihara,JP,26.1842,127.7558,75.2,73,75,9.22,broken clouds
Manyana,BW,-23.4,21.7167,82.42,43,13,8.86,few clouds
Cairns,AU,-16.9167,145.7667,82.4,69,44,6.91,scattered clouds
Oruro,BO,-17.9833,-67.15,42.73,77,25,6.06,scattered clouds
Sarahan,IN,31.5167,77.8,61.34,25,28,6.08,scattered clouds
Ventanas,EC,-1.45,-79.4667,74.37,95,100,0.74,moderate rain
Mantua,IT,45.1667,10.7833,46.99,65,76,7,broken clouds
Bonthe,SL,7.5264,-12.505,81.18,62,75,2.42,broken clouds
Ransang,PH,8.9603,117.5828,83.37,78,55,7.47,broken clouds
Yining,CN,29.0361,114.5636,63.14,92,89,3.89,overcast clouds
Poum,NC,-20.2333,164.0167,80.82,77,86,16.73,overcast clouds
Wick,GB,58.4333,-3.0833,48.2,93,75,27.63,broken clouds
Karlshamn,SE,56.1706,14.8619,37.99,93,75,4.61,broken clouds
San-Pedro,CI,4.7485,-6.6363,78.24,87,100,4.85,light rain
Esna,EG,25.2934,32.554,75.2,25,0,5.75,clear sky
Soe,ID,-9.8607,124.284,71.98,94,97,1.05,overcast clouds
Puerto Escondido,MX,15.85,-97.0667,74.37,71,0,4.7,clear sky
Helena,US,46.5927,-112.0361,35.6,55,1,4.61,clear sky
Sao Francisco De Assis,BR,-29.5503,-55.1311,58.35,92,48,5.97,scattered clouds
Port-Gentil,GA,-0.7193,8.7815,77,100,40,3.44,scattered clouds
Lucea,JM,18.451,-78.1736,73.4,68,20,3.44,few clouds
Odienne,CI,9.51,-7.5692,80.04,65,89,5.14,overcast clouds
Larsnes,NO,62.2028,5.5773,37.99,93,75,2.37,broken clouds
Hay River,CA,60.8156,-115.7999,33.8,55,70,8.05,broken clouds
Fukue,JP,32.6881,128.8419,64.4,68,40,3.44,scattered clouds
Miri,MY,4.4148,114.0089,86,79,40,8.05,light rain
Akdepe,TM,42.0551,59.3788,55.4,47,20,16.11,few clouds
Myaundzha,RU,63.0494,147.1858,-11.49,93,0,2.89,clear sky
Yantal,RU,56.8471,105.2542,23.07,82,100,5.7,overcast clouds
Ust-Tsilma,RU,65.441,52.1498,19.85,92,100,6.04,overcast clouds
Minsk,BY,53.9,27.5667,33.8,69,0,8.95,clear sky
Ulladulla,AU,-35.35,150.4667,64.99,100,75,8.05,broken clouds
Yuanli,TW,24.4397,120.6535,73.4,73,40,6.91,scattered clouds
Kalemie,CD,-5.9475,29.1947,81.39,67,35,1.01,light rain
Tambacounda,SN,13.7539,-13.7586,77.04,36,0,3.18,clear sky
Auchel,FR,50.5034,2.4735,44.01,91,100,13.35,overcast clouds
At-Bashi,KG,41.1702,75.8106,27.66,69,33,3.85,scattered clouds
Kiama,AU,-34.6833,150.8667,70,82,100,7,light rain
Madang,PG,-5.2246,145.7966,79.9,78,98,2.91,overcast clouds
Llanes,ES,43.4198,-4.7549,55,71,68,3.2,broken clouds
Agadir,MA,30.4202,-9.5982,60.8,82,90,3.44,overcast clouds
Tenenkou,ML,14.4572,-4.9169,86.14,8,55,13.49,broken clouds
Paraiso,CR,9.8383,-83.8656,68,77,0,8.05,clear sky
Bhongir,IN,17.5108,78.8889,96.8,21,9,3.44,clear sky
Sur,OM,22.5667,59.5289,88.79,32,0,7.9,clear sky
Progreso,MX,21.2833,-89.6667,75,83,1,9.22,clear sky
Beloha,MG,-25.1667,45.05,94.03,30,0,6.82,clear sky
Solnechnyy,RU,50.7214,136.6319,21.96,86,100,1.12,overcast clouds
Namibe,AO,-15.1961,12.1522,75.2,73,40,6.91,scattered clouds
Rio Grande,BR,-32.035,-52.0986,67.03,84,37,13.65,scattered clouds
Kandrian,PG,-6.2167,149.55,80.26,85,59,4.32,broken clouds
Moron,AR,-34.6534,-58.6198,53.01,95,0,1.99,clear sky
Ariquemes,BR,-9.9133,-63.0408,71.58,99,100,1.97,overcast clouds
Tuensang,IN,26.2833,94.8333,83.48,29,9,5.08,clear sky
Yurga,RU,55.7231,84.8861,20.71,87,100,8.86,overcast clouds
Sao Desiderio,BR,-12.3633,-44.9733,68.86,82,65,1.77,broken clouds
Mwene-Ditu,CD,-7,23.45,83.21,64,94,1.28,overcast clouds
Raga,SS,8.4596,25.678,88.11,43,100,5.23,overcast clouds
Cartagena,CO,10.3997,-75.5144,77,88,40,4.61,scattered clouds
Aksarka,RU,66.5606,67.7975,-1.62,91,100,3.89,overcast clouds
Chernushka,RU,56.5072,56.0766,27.77,93,100,14.32,light snow
Aleksandrov Gay,RU,50.147,48.5704,32.56,96,84,6.26,broken clouds
El Retorno,CO,2.3302,-72.6276,71.53,98,100,2.39,overcast clouds
Puerto Cabezas,NI,14.0351,-83.3888,75.47,90,34,6.85,scattered clouds
Shirvan,AZ,39.9509,48.8994,66.83,45,0,14.27,clear sky
Seoul,KR,37.5683,126.9778,64.4,41,75,10.36,broken clouds
Bandarbeyla,SO,9.4942,50.8122,81.9,66,16,12.48,few clouds
Santa Cruz De La Palma,ES,28.6835,-17.7642,64.4,72,20,16.11,few clouds
Aksu,CN,41.1231,80.2644,42.76,52,100,9.33,overcast clouds
Hailar,CN,49.2,119.7,26.06,59,100,1.66,overcast clouds
Tandil,AR,-37.3217,-59.1332,43.7,91,1,7.02,clear sky
North Battleford,CA,52.7834,-108.2847,37.4,52,1,11.5,clear sky
Maarianhamina,AX,60.0973,19.9348,35.6,87,75,11.5,broken clouds
Miles City,US,46.4083,-105.8406,26.6,63,1,5.75,clear sky
Shenzhen,CN,22.5455,114.0683,82.99,72,21,3,few clouds
Alexandria,EG,31.2156,29.9553,64.4,55,40,11.5,scattered clouds
Arrecife,ES,28.963,-13.5477,64.4,59,75,1.14,broken clouds
Kibala,TD,9.1104,18.3463,86,48,0,11.5,clear sky
Namatanai,PG,-3.6667,152.4333,80.85,76,21,6.53,few clouds
Bintulu,MY,3.1667,113.0333,82.4,83,40,8.01,scattered clouds
Aripuana,BR,-9.1667,-60.6333,70.66,99,100,2.24,light rain
Denizli,TR,37.8402,29.0698,41,65,40,5.75,scattered clouds
Marsa Matruh,EG,31.3525,27.2453,62.6,55,20,10.36,few clouds
Mackay,AU,-21.15,149.2,77,94,75,6.91,light rain
Balarampur,IN,23.1167,86.2167,98.73,9,100,10.42,overcast clouds
Tamandare,BR,-8.7597,-35.1047,76.73,83,35,4.16,scattered clouds
Santa Maria,BR,-29.6842,-53.8069,62.31,86,91,4.29,overcast clouds
San Cristobal,VE,7.7669,-72.225,64.76,92,46,0.72,scattered clouds
Ambovombe,MG,-25.1667,46.0833,88.16,48,0,7.02,clear sky
Clute,US,29.0247,-95.3988,55.4,50,1,17.27,clear sky
Adrar,MR,20.5022,-10.0711,75.99,11,0,8.19,clear sky
Churapcha,RU,62.0025,132.4325,4.5,92,100,6.96,overcast clouds
Capao Da Canoa,BR,-29.7456,-50.0097,70.14,84,13,11.23,few clouds
Havre-Saint-Pierre,CA,50.2334,-63.5986,17.6,86,75,10.36,broken clouds
Satipo,PE,-11.2522,-74.6386,66.63,96,42,2.21,scattered clouds
Portland,US,45.5234,-122.6762,44.01,70,1,2.24,clear sky
Tokur,RU,53.1333,132.9,12.79,91,99,4.05,overcast clouds
Xinzhou,CN,38.4092,112.7333,49.06,54,84,5.93,broken clouds
Fairbanks,US,64.8378,-147.7164,10.4,78,75,4.18,broken clouds
Acarau,BR,-2.8856,-40.12,76.75,86,83,5.26,broken clouds
Sao Luiz Gonzaga,BR,-28.4083,-54.9608,65.48,77,94,8.61,overcast clouds
Hovin,NO,63.1055,10.225,37,91,100,1.99,snow
Jinchang,CN,38.4953,102.1739,50.72,13,20,10.27,few clouds
Collie,AU,-33.3667,116.15,86,43,0,5.01,clear sky
Bongandanga,CD,1.5,21.05,88.38,53,100,1.86,overcast clouds
Renqiu,CN,38.6989,116.0936,52.68,27,14,9.15,few clouds
Am Timan,TD,11.0297,20.2827,92.68,35,94,9.8,overcast clouds
Kurilsk,RU,45.2333,147.8833,23.9,93,100,17.56,light snow
Ninh Binh,VN,20.2539,105.975,81.97,66,8,11.03,clear sky
Dedougou,BF,12.4667,-3.4667,87.15,10,99,3.44,overcast clouds
Naze,JP,28.3667,129.4833,69.8,94,75,3.22,broken clouds
Karratha,AU,-20.7377,116.8463,88.92,53,16,15.17,few clouds
Taoudenni,ML,22.6783,-3.9836,76.15,16,0,7.92,clear sky
Kiruna,SE,67.8557,20.2251,14,62,40,2.3,scattered clouds
Falam,MM,22.9167,93.6833,86.83,8,1,3.24,clear sky
Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,70.16,98,95,2.89,moderate rain
Dalianwan,CN,39.0286,121.695,44.6,53,40,6.71,scattered clouds
Emet,TR,39.343,29.2585,42.15,54,52,15.39,broken clouds
Balvi,LV,57.1313,27.2658,31.98,76,93,4.56,overcast clouds
Manta,EC,-0.95,-80.7333,77,88,90,2.3,light rain
Toccoa,US,34.5773,-83.3324,52,99,90,4.61,overcast clouds
Sobolevo,RU,54.4299,31.8996,32.81,89,97,9.55,light snow
Piet Retief,ZA,-27.0071,30.8132,80.73,42,0,2.71,clear sky
Muros,ES,42.7762,-9.0603,53.01,70,16,5.01,few clouds
Onguday,RU,50.75,86.15,25.52,82,100,3.09,light snow
Bundaberg,AU,-24.85,152.35,77,83,90,10.36,overcast clouds
Lazaro Cardenas,MX,17.9583,-102.2,68.76,86,0,4.52,clear sky
Tarquinia,IT,42.2482,11.7553,46,75,20,8.05,few clouds
Margate,GB,51.3813,1.3862,44.01,85,100,7,light rain
Doha,QA,25.2867,51.5333,100.99,11,0,12.66,clear sky
Deep River,CA,46.1001,-77.4995,33.8,86,20,4.61,few clouds
Balikpapan,ID,-1.2675,116.8289,82.4,89,40,3.44,scattered clouds
Bridlington,GB,54.0831,-0.1919,45,86,100,14.67,overcast clouds
Lincoln,US,40.8,-96.667,34,80,90,16.11,overcast clouds